Prep,Run,Number,Sample,Cell Line,clid,Timepoint,serum,Harvest,Label_num,Tag,Exp_rep,TMT.Reporter,label,condition,replicate
Prep_03,TMT11,52,P0373,CE,702,4,starve,180817,127,R2,1,TMT11_R2,TMT11_R2,Afat.4.702.starve,1
Prep_03,TMT11,53,P0374,CE,702,24,starve,180818,128,R3,1,TMT11_R3,TMT11_R3,Afat.24.702.starve,1
Prep_03,TMT11,54,P0375,CE,702,48,starve,180819,129,R4,1,TMT11_R4,TMT11_R4,Afat.48.702.starve,1
Prep_04,TMT12,56,P0113,C,701,0,starve,180704,126,R1,1,TMT12_R1,TMT12_R1,Afat.0.701.starve,1
Prep_04,TMT12,57,P0114,C,701,4,starve,180704,127,R2,1,TMT12_R2,TMT12_R2,Afat.4.701.starve,1
Prep_04,TMT12,58,P0115,C,701,24,starve,180705,128,R3,1,TMT12_R3,TMT12_R3,Afat.24.701.starve,1
Prep_04,TMT12,59,P0116,C,701,48,starve,180706,129,R4,1,TMT12_R4,TMT12_R4,Afat.48.701.starve,1
Prep_04,TMT13,61,P0131,CP,700,0,starve,180704,126,R1,1,TMT13_R1,TMT13_R1,Afat.0.700.starve,1
Prep_04,TMT13,62,P0132,CP,700,4,starve,180704,127,R2,1,TMT13_R2,TMT13_R2,Afat.4.700.starve,1
Prep_04,TMT13,63,P0133,CP,700,24,starve,180705,128,R3,1,TMT13_R3,TMT13_R3,Afat.24.700.starve,1
Prep_04,TMT13,64,P0134,CP,700,48,starve,180706,129,R4,1,TMT13_R4,TMT13_R4,Afat.48.700.starve,1
Prep_04,TMT14,66,P0163,CEv3P,699,0,starve,180630,126,R1,1,TMT14_R1,TMT14_R1,Afat.0.699.starve,1
Prep_04,TMT14,67,P0164,CEv3P,699,4,starve,180630,127,R2,1,TMT14_R2,TMT14_R2,Afat.4.699.starve,1
Prep_04,TMT14,68,P0165,CEv3P,699,24,starve,180701,128,R3,1,TMT14_R3,TMT14_R3,Afat.24.699.starve,1
Prep_04,TMT14,69,P0166,CEv3P,699,48,starve,180702,129,R4,1,TMT14_R4,TMT14_R4,Afat.48.699.starve,1
Prep_04,TMT15,71,P0286,PC,692,0,starve,180805,126,R1,1,TMT15_R1,TMT15_R1,Afat.0.692.starve,1
Prep_04,TMT15,72,P0287,PC,692,4,starve,180805,127,R2,1,TMT15_R2,TMT15_R2,Afat.4.692.starve,1
Prep_04,TMT15,73,P0288,PC,692,24,starve,180806,128,R3,1,TMT15_R3,TMT15_R3,Afat.24.692.starve,1
Prep_04,TMT15,74,P0289,PC,692,48,starve,180807,129,R4,1,TMT15_R4,TMT15_R4,Afat.48.692.starve,1
Prep_05,TMT16,76,P0368,G12,698,0,starve,180904,126,R1,3,TMT16_R1,TMT16_R1,Afat.0.698.starve,3
Prep_05,TMT16,77,P0369,G12,698,4,starve,180904,127,R2,3,TMT16_R2,TMT16_R2,Afat.4.698.starve,3
Prep_05,TMT16,78,P0370,G12,698,24,starve,180905,128,R3,3,TMT16_R3,TMT16_R3,Afat.24.698.starve,3
Prep_05,TMT16,79,P0371,G12,698,48,starve,180906,129,R4,3,TMT16_R4,TMT16_R4,Afat.48.698.starve,3
Prep_05,TMT17,81,P0356,G8,697,0,starve,180826,126,R1,3,TMT17_R1,TMT17_R1,Afat.0.697.starve,3
Prep_05,TMT17,82,P0357,G8,697,4,starve,180826,127,R2,3,TMT17_R2,TMT17_R2,Afat.4.697.starve,3
Prep_05,TMT17,83,P0358,G8,697,24,starve,180827,128,R3,3,TMT17_R3,TMT17_R3,Afat.24.697.starve,3
Prep_05,TMT17,84,P0359,G8,697,48,starve,180828,129,R4,3,TMT17_R4,TMT17_R4,Afat.48.697.starve,3
Prep_05,TMT18,86,P0344,G5,696,0,starve,180905,126,R1,3,TMT18_R1,TMT18_R1,Afat.0.696.starve,3
Prep_05,TMT18,87,P0345,G5,696,4,starve,180905,127,R2,3,TMT18_R2,TMT18_R2,Afat.4.696.starve,3
Prep_05,TMT18,88,P0346,G5,696,24,starve,180906,128,R3,3,TMT18_R3,TMT18_R3,Afat.24.696.starve,3
Prep_05,TMT18,89,P0347,G5,696,48,starve,180907,129,R4,3,TMT18_R4,TMT18_R4,Afat.48.696.starve,3
Prep_05,TMT19,91,P0332,G1,695,0,starve,180826,126,R1,3,TMT19_R1,TMT19_R1,Afat.0.695.starve,3
Prep_05,TMT19,92,P0333,G1,695,4,starve,180826,127,R2,3,TMT19_R2,TMT19_R2,Afat.4.695.starve,3
Prep_05,TMT19,93,P0334,G1,695,24,starve,180827,128,R3,3,TMT19_R3,TMT19_R3,Afat.24.695.starve,3
Prep_05,TMT19,94,P0335,G1,695,48,starve,180828,129,R4,3,TMT19_R4,TMT19_R4,Afat.48.695.starve,3
Prep_06,TMT20,96,P0204,E5,694,0,starve,180724,126,R1,3,TMT20_R1,TMT20_R1,Afat.0.694.starve,3
Prep_06,TMT20,97,P0205,E5,694,4,starve,180724,127,R2,3,TMT20_R2,TMT20_R2,Afat.4.694.starve,3
Prep_06,TMT20,98,P0206,E5,694,24,starve,180725,128,R3,3,TMT20_R3,TMT20_R3,Afat.24.694.starve,3
Prep_06,TMT20,99,P0207,E5,694,48,starve,180726,129,R4,3,TMT20_R4,TMT20_R4,Afat.48.694.starve,3
Prep_06,TMT21,101,P0189,E4,693,0,starve,180724,126,R1,3,TMT21_R1,TMT21_R1,Afat.0.693.starve,3
Prep_06,TMT21,102,P0190,E4,693,4,starve,180724,127,R2,3,TMT21_R2,TMT21_R2,Afat.4.693.starve,3
Prep_06,TMT21,103,P0191,E4,693,24,starve,180724,128,R3,3,TMT21_R3,TMT21_R3,Afat.24.693.starve,3
Prep_06,TMT21,104,P0192,E4,693,48,starve,180725,129,R4,3,TMT21_R4,TMT21_R4,Afat.48.693.starve,3
Prep_06,TMT22,106,P0282,GR7,691,0,starve,180805,126,R1,3,TMT22_R1,TMT22_R1,Afat.0.691.starve,3
Prep_06,TMT22,107,P0283,GR7,691,4,starve,180805,127,R2,3,TMT22_R2,TMT22_R2,Afat.4.691.starve,3
Prep_06,TMT22,108,P0284,GR7,691,24,starve,180806,128,R3,3,TMT22_R3,TMT22_R3,Afat.24.691.starve,3
Prep_06,TMT22,109,P0285,GR7,691,48,starve,180807,129,R4,3,TMT22_R4,TMT22_R4,Afat.48.691.starve,3
Prep_06,TMT23,111,P0270,GR1,690,0,starve,180805,126,R1,3,TMT23_R1,TMT23_R1,Afat.0.690.starve,3
Prep_06,TMT23,112,P0271,GR1,690,4,starve,180805,127,R2,3,TMT23_R2,TMT23_R2,Afat.4.690.starve,3
Prep_06,TMT23,113,P0272,GR1,690,24,starve,180806,128,R3,3,TMT23_R3,TMT23_R3,Afat.24.690.starve,3
Prep_06,TMT23,114,P0273,GR1,690,48,starve,180807,129,R4,3,TMT23_R4,TMT23_R4,Afat.48.690.starve,3
Prep_07,TMT24,116,P0258,S1,689,0,starve,180807,126,R1,3,TMT24_R1,TMT24_R1,Afat.0.689.starve,3
Prep_07,TMT24,117,P0259,S1,689,4,starve,180807,127,R2,3,TMT24_R2,TMT24_R2,Afat.4.689.starve,3
Prep_07,TMT24,118,P0260,S1,689,24,starve,180808,128,R3,3,TMT24_R3,TMT24_R3,Afat.24.689.starve,3
