"","x"
"320","Ifit2"
"321","Igbp1"
"322","Igdcc4"
"323","Igfbpl1"
"324","Iglon5"
"325","Ikbke"
"326","Il11ra1"
"327","Ing4"
"328","Inha"
"329","Inhbb"
"330","Inka2"
"331","Ip6k3"
"332","Ipo13"
"333","Iqank1"
"334","Iqcd"
"335","Iqcg"
"336","Iqsec2"
"337","Irak2"
"338","Irak3"
"339","Irs2"
"340","Itfg1"
"341","Itga10"
"342","Itpka"
"343","Itpkb"
"344","Izumo4"
"345","Jup"
"346","Kcnc3"
"347","Kcnh3"
"348","Kcnn1"
"349","Kcnq1"
"350","Kctd1"
"351","Kctd21"
"352","Kctd7"
"353","Kdm4b"
"354","Kdm6b"
"355","Khnyn"
"356","Kif13b"
"357","Kif1b"
"358","Kif21a"
"359","Kif26b"
"360","Kifc3"
"361","Kirrel3"
"362","Kiz"
"363","Klf13"
"364","Klf15"
"365","Klf7"
"366","Klhl10"
"367","Klhl17"
"368","Klhl26"
"369","Klhl3"
"370","Klhl36"
"371","Klk1b24"
"372","Kmt2c"
"373","Kmt5c"
"374","Kxd1"
"375","L1cam"
"376","L2hgdh"
"377","Lactb"
"378","Lctl"
"379","Ldb1"
"380","Leng9"
"381","Letm2"
"382","Limk2"
"383","Lix1l"
"384","Llgl2"
"385","Lmbr1l"
"386","Loxl3"
"387","Lpin1"
"388","Lrp1"
"389","Lrp3"
"390","Lrrc4"
"391","Lrrc58"
"392","Lrrc61"
"393","Lrrc74b"
"394","Lrrc75a"
"395","Ltbp4"
"396","Lysmd4"
"397","Mafa"
"398","Mafk"
"399","Maml2"
"400","Man1c1"
"401","Map1lc3a"
"402","Map2k6"
"403","Mapk10"
"404","Mapk8ip3"
"405","Mapkapk3"
"406","Marchf10"
"407","Marchf3"
"408","Masp1"
"409","Masp2"
"410","Matk"
"411","Matn2"
"412","Mbp"
"413","Mcc"
"414","Mdm2"
"415","Megf8"
"416","Meis1"
"417","Mettl21a"
"418","Mgat3"
"419","Mical1"
"420","Midn"
"421","Miga1"
"422","Mindy2"
"423","Mindy4"
"424","Mkrn3"
"425","Mllt3"
"426","Mmp15"
"427","Morn2"
"428","Mpp2"
"429","Mpp7"
"430","Mrc2"
"431","Mt1"
"432","Mtmr11"
"433","Mtss1"
"434","Mvp"
"435","Mxi1"
"436","Mylip"
"437","Myo10"
"438","Myo6"
"439","Myorg"
"440","Nacad"
"441","Nap1l3"
"442","Napepld"
"443","Nat14"
"444","Natd1"
"445","Ncald"
"446","Ncam1"
"447","Ndst2"
"448","Nek8"
"449","Nemp2"
"450","Nfatc4"
"451","Nhej1"
"452","Nicn1"
"453","Nipal4"
"454","Nkain2"
"455","Nlrx1"
"456","Nod1"
"457","Npdc1"
"458","Npepps"
"459","Nr1d1"
"460","Nr1h3"
"461","Nr2e1"
"462","Nradd"
"463","Ntn4"
"464","Nuak2"
"465","Odad3"
"466","Olfml2b"
"467","Oplah"
"468","Opn1sw"
"469","Os9"
"470","Osbp2"
"471","Otx1"
"472","P2rx5"
"473","P3h3"
"474","P4ha1"
"475","Pabpc1l"
"476","Pacs2"
"477","Pak3"
"478","Palld"
"479","Papln"
"480","Parp3"
"481","Pbld2"
"482","Pcdhgc3"
"483","Pcdhgc5"
"484","Pcmtd1"
"485","Pcolce"
"486","Pde1b"
"487","Pde8b"
"488","Pdgfc"
"489","Pdgfra"
"490","Pdlim2"
"491","Pdzd2"
"492","Pdzk1"
"493","Pdzk1ip1"
"494","Peli2"
"495","Per1"
"496","Per2"
"497","Pex6"
"498","Pfkfb2"
"499","Pgm2l1"
"500","Phactr1"
"501","Pheta1"
"502","Phf21b"
"503","Phf7"
"504","Phkg1"
"505","Pidd1"
"506","Pik3c2b"
"507","Pik3r1"
"508","Pik3r2"
"509","Pinlyp"
"510","Pip5kl1"
"511","Pitpnc1"
"512","Pitpnm2"
"513","Plag1"
"514","Plcd1"
"515","Plce1"
"516","Plch2"
"517","Plekha7"
"518","Plekhf1"
"519","Plekho2"
"520","Plin5"
"521","Plppr2"
"522","Plppr3"
"523","Plxdc1"
"524","Plxna2"
"525","Plxna3"
"526","Plxna4"
"527","Plxnb1"
"528","Pmp22"
"529","Polk"
"530","Polm"
"531","Ppara"
"532","Ppil6"
"533","Ppm1e"
"534","Ppox"
"535","Ppp1r1b"
"536","Ppp1r27"
"537","Ppp2r2c"
"538","Ppp3ca"
"539","Prag1"
"540","Prdm1"
"541","Prex1"
"542","Prickle2"
"543","Prkcg"
"544","Prlr"
"545","Proser2"
"546","Prr18"
"547","Prrx1"
"548","Prss23"
"549","Prss53"
"550","Prx"
"551","Psd3"
"552","Pspc1"
"553","Psrc1"
"554","Ptges3l"
"555","Ptp4a3"
"556","Ptpdc1"
"557","Ptpre"
"558","Ptprf"
"559","Pxmp4"
"560","Rab11fip4"
"561","Rab13"
"562","Rab34"
"563","Rab36"
"564","Rab3d"
"565","Rabgap1l"
"566","Rap2a"
"567","Rasa3"
"568","Rasa4"
"569","Rasgef1a"
"570","Rb1"
"571","Rbl2"
"572","Rbms3"
"573","Rcsd1"
"574","Rdh10"
"575","Rdh5"
"576","Rfx2"
"577","Rhbdl1"
"578","Rhbdl3"
"579","Rhpn1"
"580","Rmdn1"
"581","Rnd2"
"582","Rnf135"
"583","Rnf144b"
"584","Rnf32"
"585","Rragd"
"586","Rras"
"587","Rsrp1"
"588","Rtkn"
"589","Rtl8c"
"590","Rtn2"
"591","Rtn4rl1"
"592","Ryr3"
"593","S100a13"
"594","Samd14"
"595","Sardh"
"596","Sarm1"
"597","Sbk3"
"598","Sbsn"
"599","Scn3b"
"600","Scnn1a"
"601","Sdc3"
"602","Sec14l5"
"603","Selenom"
"604","Selenow"
"605","Sema4g"
"606","Serhl"
"607","Serinc1"
"608","Serinc4"
"609","Serpina11"
"610","Serpina3i"
"611","Sertad4"
"612","Sfi1"
"613","Sfxn3"
"614","Sfxn4"
"615","Shd"
"616","Shf"
"617","Shpk"
"618","Shroom2"
"619","Shroom3"
"620","Sipa1l2"
"621","Slc14a2"
"622","Slc16a3"
"623","Slc18a2"
"624","Slc24a3"
"625","Slc25a36"
"626","Slc26a10"
"627","Slc27a1"
"628","Slc35a5"
"629","Slc39a13"
"630","Slc49a4"
"631","Slc6a19"
"632","Slc6a6"
"633","Slc9a9"
"634","Smad6"
"635","Smad9"
"636","Smox"
"637","Smpd1"
"638","Snx21"
"639","Snx33"
"640","Sorbs1"
"641","Sox4"
"642","Sox5"
"643","Sparcl1"
"644","Spon2"
"645","Spred1"
"646","Spred3"
"647","Sptb"
"648","Srpk3"
"649","Ssbp2"
"650","Ssh3"
"651","Sspn"
"652","St3gal4"
"653","St6gal1"
"654","Stac3"
"655","Star"
"656","Stard10"
"657","Stard9"
"658","Stat6"
"659","Stim1"
"660","Stox1"
"661","Suox"
"662","Syn3"
"663","Sync"
"664","Synpo"
"665","Synpo2"
"666","Sytl1"
"667","Taf9b"
"668","Tagln3"
"669","Tas1r1"
"670","Tatdn3"
"671","Tbc1d2"
"672","Tbc1d8"
