"","x"
"326","Mcam"
"327","Mcph1"
"328","Mcpt8"
"329","Mcrip2"
"330","Mdm1"
"331","Mdn1"
"332","Med19"
"333","Med8"
"334","Mei4"
"335","Met"
"336","Mettl1"
"337","Mlkl"
"338","Mogat1"
"339","Mphosph6"
"340","Mreg"
"341","Mrpl12"
"342","Mrpl42"
"343","Mrps10"
"344","Mrps22"
"345","Mrps27"
"346","Msantd3"
"347","Msh3"
"348","Msh6"
"349","Mst1"
"350","Mt3"
"351","Mybbp1a"
"352","Mycbp"
"353","Mydgf"
"354","Myof"
"355","Myom2"
"356","Naa50"
"357","Nat8l"
"358","Ncl"
"359","Ndufaf4"
"360","Nfe2l3"
"361","Nif3l1"
"362","Nip7"
"363","Nkrf"
"364","Nlrc3"
"365","Nmd3"
"366","Nmt2"
"367","Noc4l"
"368","Nol11"
"369","Nol8"
"370","Nova1"
"371","Nphp4"
"372","Nqo1"
"373","Nrp2"
"374","Nsd2"
"375","Nsun2"
"376","Nucb2"
"377","Nudc"
"378","Nudcd1"
"379","Nudcd2"
"380","Nudt1"
"381","Nudt15"
"382","Nup188"
"383","Nup210l"
"384","Nup35"
"385","Nup37"
"386","Nup50"
"387","Nup54"
"388","Nupr1"
"389","Nus1"
"390","Nxph4"
"391","Nxt1"
"392","Odf2"
"393","Ormdl2"
"394","Ostc"
"395","P2rx3"
"396","P2ry2"
"397","Paip1"
"398","Pak4"
"399","Pals2"
"400","Pard6b"
"401","Paxip1"
"402","Pbdc1"
"403","Pck2"
"404","Pdap1"
"405","Pdcd11"
"406","Pde2a"
"407","Pde4b"
"408","Pdia3"
"409","Pdxk"
"410","Peak1"
"411","Peg10"
"412","Pfas"
"413","Pgf"
"414","Pgp"
"415","Phc2"
"416","Phex"
"417","Phf10"
"418","Phf5a"
"419","Pi15"
"420","Pik3ap1"
"421","Pin1"
"422","Pinx1"
"423","Pla2g4c"
"424","Plat"
"425","Plekha3"
"426","Plekhh1"
"427","Plet1"
"428","Plk3"
"429","Plscr1"
"430","Plscr2"
"431","Pno1"
"432","Pnpt1"
"433","Pofut2"
"434","Pold2"
"435","Pole3"
"436","Polh"
"437","Polr1a"
"438","Polr1b"
"439","Polr3d"
"440","Polr3e"
"441","Popdc3"
"442","Pou2f2"
"443","Ppan"
"444","Ppid"
"445","Ppif"
"446","Ppip5k2"
"447","Ppm1g"
"448","Ppp1r8"
"449","Pprc1"
"450","Prep"
"451","Prkcb"
"452","Prmt1"
"453","Prmt5"
"454","Prokr1"
"455","Prps1"
"456","Prr7"
"457","Psma1"
"458","Psma4"
"459","Psma7"
"460","Psmc4"
"461","Psmd1"
"462","Psmd11"
"463","Psmd14"
"464","Psmd7"
"465","Psmg1"
"466","Ptbp1"
"467","Ptcd3"
"468","Ptchd1"
"469","Ptchd4"
"470","Ptger4"
"471","Ptges3"
"472","Ptma"
"473","Ptpn6"
"474","Ptprt"
"475","Purb"
"476","Pus7l"
"477","Pvr"
"478","Pwp1"
"479","Pygl"
"480","Qpct"
"481","Qtrt2"
"482","Rab39b"
"483","Rad50"
"484","Radx"
"485","Raet1d"
"486","Rarb"
"487","Rasa2"
"488","Rbm20"
"489","Rcc2"
"490","Rcl1"
"491","Reep4"
"492","Reep6"
"493","Relt"
"494","Ret"
"495","Rexo2"
"496","Rgs14"
"497","Rgs19"
