"","x"
"321","Gprasp2"
"322","Gprc5c"
"323","Gria3"
"324","Grina"
"325","Grm7"
"326","Gsap"
"327","Gsdma"
"328","Gstm1"
"329","Gsto2"
"330","Gvin2"
"331","Gzmm"
"332","H1f2"
"333","H2ac18"
"334","H2ac25"
"335","H2ac6"
"336","H2bc21"
"337","H2bc24"
"338","H2bc27"
"339","H2bc4"
"340","H2bc6"
"341","H3c4"
"342","H4c14"
"343","Hbp1"
"344","Hdac11"
"345","Hdac5"
"346","Hdac9"
"347","Heph"
"348","Hhatl"
"349","Hmcn2"
"350","Hmgcs2"
"351","Hoga1"
"352","Hoxa4"
"353","Hoxb5"
"354","Hoxb8"
"355","Hs6st1"
"356","Hscb"
"357","Hsd11b1"
"358","Hsd17b1"
"359","Hsd17b11"
"360","Hsdl2"
"361","Hspa1b"
"362","Htr3a"
"363","Hyal1"
"364","Hyal3"
"365","Idua"
"366","Ifi202b"
"367","Ifi27"
"368","Ifi27l2a"
"369","Ifi44"
"370","Ifi47"
"371","Ifih1"
"372","Ifit1"
"373","Ifit1bl1"
"374","Ifit1bl2"
"375","Ifit3"
"376","Ifit3b"
"377","Ifitm3"
"378","Ifnlr1"
"379","Igf2"
"380","Igip"
"381","Igtp"
"382","Iigp1"
"383","Ikzf2"
"384","Il13ra1"
"385","Il17rd"
"386","Il18"
"387","Inafm1"
"388","Inca1"
"389","Inka1"
"390","Ino80b"
"391","Inpp5k"
"392","Insl3"
"393","Ip6k2"
"394","Irf1"
"395","Irf7"
"396","Irf9"
"397","Irgm1"
"398","Irgm2"
"399","Irs1"
"400","Irs4"
"401","Isg15"
"402","Islr"
"403","Isoc2b"
"404","Itga2b"
"405","Itgb8"
"406","Itih5"
"407","Itm2b"
"408","Itpkc"
"409","Jak3"
"410","Jam2"
"411","Kalrn"
"412","Kank3"
"413","Kazald1"
"414","Kcnab1"
"415","Kcnd3"
"416","Kcnh2"
"417","Kcnj10"
"418","Kcnj2"
"419","Kcnq4"
"420","Kdm3a"
"421","Kdm5b"
"422","Kdm5d"
"423","Kdm7a"
"424","Khk"
"425","Kif5a"
"426","Kif9"
"427","Kifc2"
"428","Kiss1r"
"429","Klc3"
"430","Klc4"
"431","Klf10"
"432","Klhdc8a"
"433","Klhdc8b"
"434","Klhl24"
"435","Klhl32"
"436","Klhl4"
"437","Klhl40"
"438","Kng1"
"439","Lama2"
"440","Lamb2"
"441","Lamp2"
"442","Lbp"
"443","Lca5l"
"444","Ldb3"
"445","Lgals4"
"446","Lgals9"
"447","Lgi4"
"448","Lgmn"
"449","Limch1"
"450","Lmntd2"
"451","Lonrf2"
"452","Loxl1"
"453","Loxl2"
"454","Lpar6"
"455","Lrp4"
"456","Lrrc14b"
"457","Lrrc18"
"458","Lrrc39"
"459","Lrrc4b"
"460","Lrrc51"
"461","Lrrc56"
"462","Lrrn3"
"463","Lrrn4cl"
"464","Lynx1"
"465","Macrod1"
"466","Maf"
"467","Magi2"
"468","Mamstr"
"469","Man2b2"
"470","Mansc1"
"471","Maoa"
"472","Maob"
"473","Map3k12"
"474","Map4k1"
"475","Mapk1ip1"
"476","Mapk3"
"477","Mapt"
"478","Marcks"
"479","Mcoln1"
"480","Mctp1"
"481","Mctp2"
"482","Me3"
"483","Mef2c"
"484","Meiob"
"485","Meis3"
"486","Mep1a"
