"","Afatinib.down","Afatinib.up","Neratinib.down","Neratinib.up"
"Arhgef15",0,0,0,1
"Arhgef18",0,0,0,1
"Arhgef19",0,0,0,1
"Arhgef25",0,0,0,1
"Arhgef33",0,1,0,1
"Arhgef39",0,0,1,0
"Arhgef6",0,1,0,1
"Arhgef9",0,0,0,1
"Arid5a",1,0,1,0
"Arl4c",0,0,0,1
"Arl5a",1,0,1,0
"Arl6ip5",0,0,0,1
"Armc2",0,0,0,1
"Armcx6",0,0,1,0
"Arrdc2",0,1,0,1
"Arrdc3",0,1,0,1
"Arsa",0,1,0,0
"Arsj",1,0,0,0
"Arsk",0,1,0,1
"Artn",0,0,0,1
"Arxes2",1,0,1,0
"Asah2",0,0,0,1
"Asap2",1,0,1,0
"Asap3",0,1,0,1
"Asf1b",1,0,1,0
"Asns",1,0,1,0
"Aspm",1,0,1,0
"Ass1",0,1,0,1
"Atad2",1,0,1,0
"Atad5",1,0,1,0
"Atf3",0,1,0,0
"Atf4",0,0,1,0
"Atf6b",0,0,1,0
"Atf7ip2",1,0,1,0
"Atg14",0,1,0,1
"Atg9b",0,1,0,1
"Atic",0,0,1,0
"Atl1",0,1,0,1
"Atoh8",0,1,0,1
"Atosa",0,1,0,1
"Atosb",0,0,0,1
"Atp10a",0,0,1,0
"Atp13a3",0,0,0,1
"Atp13a4",0,0,1,0
"Atp1a3",0,0,0,1
"Atp1b2",0,0,0,1
"Atp2a1",0,0,0,1
"Atp2a3",1,0,1,0
"Atp2b4",0,0,0,1
"Atp6v1g2",0,1,0,1
"Atp7a",0,1,0,1
"Atp8a1",0,1,0,0
"Atraid",0,1,0,1
"Aunip",1,0,1,0
"Aurka",1,0,1,0
"Aurkb",1,0,1,0
"Aven",0,0,1,0
"Avil",1,0,1,0
"Awat2",0,0,1,0
"Axin2",0,1,0,1
"Azin1",0,0,1,0
"Azin2",0,1,0,1
"B2m",0,1,0,1
"B3galt4",0,1,0,0
"B3galt9",0,1,0,0
"B3gnt3",1,0,1,0
"B3gnt5",0,1,0,0
"B4galnt1",0,1,0,1
"B4galt5",1,0,1,0
"Bach1",0,0,0,1
"Bambi",1,0,1,0
"Banf1",0,0,1,0
"Bard1",1,0,1,0
"Batf2",0,1,0,0
"Bbs10",0,1,0,1
"Bbs2",0,0,0,1
"Bbs4",0,1,0,1
"Bbs9",0,0,0,1
"Bcar1",1,0,1,0
"Bcar3",0,0,0,1
"Bcat1",1,0,1,0
"Bccip",0,0,1,0
"Bckdha",0,1,0,1
"Bcl2",0,0,0,1
"Bcl2l11",0,1,0,1
"Bcl6",0,1,0,1
"Bco2",0,0,0,1
"Bdh2",0,1,0,1
"Bean1",0,0,1,0
"Bend3",0,0,1,0
"Best1",0,1,0,0
"Bglap2",0,1,0,0
"Bhlhe22",0,0,1,0
"Bhlhe40",0,0,0,1
"Bhlhe41",0,1,0,1
"Bicc1",0,1,0,1
"Bicdl1",0,0,0,1
"Birc5",1,0,1,0
"Blm",1,0,1,0
"Bmf",0,1,0,1
"Bmp4",0,0,0,1
"Bmp7",0,1,0,0
"Bmper",1,0,0,0
"Bnip3",0,1,0,1
"Bok",1,0,0,0
"Bop1",0,0,1,0
"Bora",1,0,1,0
"Borcs6",0,0,0,1
"Bphl",0,1,0,1
"Brca1",1,0,1,0
"Brca2",0,0,1,0
"Brdt",0,1,0,1
"Brip1",1,0,1,0
"Bst2",0,1,0,1
"Btbd17",0,1,0,1
"Btbd19",0,0,0,1
"Btbd2",0,0,0,1
"Btbd3",0,0,0,1
"Btbd8",0,0,0,1
"Btg2",0,1,0,1
"Btnl10",0,1,0,0
"Bub1",1,0,1,0
"Bub1b",1,0,1,0
"Bysl",1,0,1,0
"Bzw2",0,0,1,0
"C1qtnf1",0,0,0,1
"C1qtnf2",0,0,0,1
"C1qtnf6",0,1,0,0
"C1ra",0,1,0,1
"C1rb",0,1,0,1
"C1rl",0,1,0,1
"C1s1",0,1,0,1
"C1s2",0,1,0,1
"C2cd4c",0,0,0,1
"C3",0,1,0,1
"C4b",0,1,0,1
