"","Afatinib.down","Afatinib.up","Neratinib.down","Neratinib.up"
"Eif2s3y",0,1,0,1
"Eif3b",1,0,1,0
"Eif4a2",0,1,0,1
"Eif4a3",0,0,1,0
"Eif4e",0,0,1,0
"Eif4ebp1",0,0,1,0
"Eif4g1",0,0,1,0
"Eif5",0,0,1,0
"Eif5a",1,0,1,0
"Elapor2",0,1,0,0
"Elavl1",0,0,1,0
"Elf3",0,1,0,1
"Elfn2",1,0,1,0
"Ell3",0,0,0,1
"Elmo1",0,1,0,1
"Eln",0,1,0,0
"Elovl4",0,0,1,0
"Elovl6",1,0,1,0
"Elovl7",0,0,0,1
"Eme1",1,0,1,0
"Emid1",0,0,0,1
"Emilin1",0,1,0,1
"Emilin2",0,0,0,1
"Eml1",1,0,0,0
"Emp1",0,0,0,1
"Enho",0,1,0,1
"Enkd1",0,0,1,0
"Eno1",1,0,1,0
"Eno1b",0,0,1,0
"Eno2",0,1,0,1
"Enoph1",0,0,1,0
"Enpp2",0,1,0,1
"Enpp3",0,0,0,1
"Enpp4",0,1,0,0
"Enpp5",0,1,0,1
"Entpd2",0,0,0,1
"Entrep1",0,0,0,1
"Eny2",0,0,1,0
"Eomes",1,0,1,0
"Epdr1",0,0,0,1
"Epha2",1,0,1,0
"Epha4",0,1,0,1
"Epha8",0,0,1,0
"Ephb3",0,1,0,1
"Ephx1",0,1,0,1
"Ephx4",0,1,0,1
"Epm2a",0,1,0,1
"Epop",1,0,1,0
"Epor",0,0,0,1
"Eppk1",0,0,0,1
"Eps8",1,0,1,0
"Eqtn",0,1,0,1
"Erbb3",0,0,1,0
"Erc2",1,0,0,0
"Ercc5",0,0,0,1
"Ercc6l",1,0,1,0
"Erg",0,0,0,1
"Erg28",1,0,1,0
"Ergic1",0,0,1,0
"Erh",0,0,1,0
"Eri1",0,0,1,0
"Ermard",0,0,0,1
"Ero1b",1,0,1,0
"Errfi1",1,0,1,0
"Esco2",1,0,1,0
"Esf1",0,0,1,0
"Espl1",1,0,1,0
"Espn",0,1,0,1
"Esrrg",0,1,0,0
"Esyt3",0,0,1,0
"Etf1",0,0,1,0
"Etfbkmt",0,1,0,1
"Etfrf1",0,0,0,1
"Etv1",0,0,0,1
"Etv4",1,0,1,0
"Etv5",1,0,1,0
"Etv6",1,0,1,0
"Evpl",0,0,0,1
"Exo1",1,0,1,0
"Exoc3l",0,0,0,1
"Exoc3l4",0,0,0,1
"Exosc1",1,0,1,0
"Exosc2",1,0,1,0
"Exosc8",1,0,1,0
"Extl3",0,0,0,1
"Eya4",0,1,0,0
"Ezh1",0,1,0,1
"Ezh2",1,0,1,0
"Ezr",1,0,1,0
"F2r",1,0,1,0
"F2rl1",1,0,1,0
"F3",0,0,0,1
"F8",0,0,0,1
"Faah",0,1,0,0
"Faap24",1,0,1,0
"Fabp4",0,1,0,0
"Fads2",1,0,1,0
"Fads3",1,0,1,0
"Fam107b",0,0,1,0
"Fam111a",1,0,1,0
"Fam117a",0,0,0,1
"Fam124a",0,0,0,1
"Fam131a",0,0,0,1
"Fam135b",0,0,0,1
"Fam136a",1,0,1,0
"Fam13a",0,1,0,1
"Fam13c",0,1,0,1
"Fam161a",0,0,0,1
"Fam167a",1,0,1,0
"Fam171a2",0,0,0,1
"Fam174c",0,0,0,1
"Fam180a",0,0,0,1
"Fam193b",0,0,0,1
"Fam210b",0,0,0,1
"Fam227a",0,1,0,1
"Fam234a",0,0,0,1
"Fam241b",0,1,0,1
"Fam3a",0,1,0,1
"Fam43a",0,1,0,1
"Fam53b",0,1,0,1
"Fam83d",1,0,1,0
"Fam83h",0,0,0,1
"Fam98a",1,0,1,0
"Fanca",1,0,1,0
"Fancb",1,0,1,0
"Fancd2",1,0,1,0
"Fanci",1,0,1,0
"Fancl",1,0,1,0
"Farsb",0,0,1,0
"Fas",0,1,0,1
"Fasn",1,0,1,0
"Fastkd5",0,0,1,0
"Fat4",0,0,0,1
"Fbl",1,0,1,0
"Fbln7",0,0,0,1
"Fbn2",0,0,0,1
"Fbxl16",0,0,0,1
"Fbxl20",0,1,0,1
"Fbxl22",0,1,0,1
"Fbxl8",0,0,0,1
"Fbxl9",0,1,0,1
"Fbxo15",0,0,0,1
"Fbxo2",0,0,0,1
"Fbxo32",0,1,0,1
"Fbxo41",0,1,0,1
"Fbxo44",0,1,0,1
"Fbxo48",1,0,1,0
"Fbxo5",1,0,1,0
"Fbxo6",0,0,0,1
"Fbxw10",0,1,0,1
"Fbxw20",0,1,0,0
"Fbxw9",0,0,0,1
"Fcgrt",0,1,0,1
"Fcho1",0,1,0,1
"Fchsd1",0,1,0,0
"Fdps",1,0,1,0
"Fen1",1,0,1,0
"Fgf11",0,0,0,1
"Fgf13",1,0,0,0
"Fgf15",1,0,1,0
"Fgf21",1,0,1,0
"Fgfbp1",0,0,0,1
"Fgfr2",0,0,0,1
"Fgfrl1",0,0,0,1
"Fgl2",0,1,0,0
"Fhdc1",0,0,1,0
"Fhip1a",0,0,1,0
"Fhl1",0,0,0,1
"Fhl2",1,0,1,0
"Fhl4",0,1,0,1
"Fhod3",0,0,0,1
"Fign",0,0,0,1
"Fignl1",1,0,1,0
"Fignl2",0,0,0,1
"Filip1",0,1,0,1
"Fkbp11",1,0,1,0
"Fkbp2",0,0,1,0
"Fkbp4",0,0,1,0
"Fkbp5",1,0,1,0
"Flcn",0,1,0,1
"Flot1",0,1,0,0
"Flrt2",0,1,0,1
"Flrt3",0,0,0,1
"Flt1",1,0,1,0
"Flt3l",0,1,0,1
"Flvcr1",0,0,1,0
"Flvcr2",0,1,0,1
"Fmnl2",0,0,0,1
"Fmnl3",0,0,0,1
"Fmo5",0,1,0,1
"Fn1",0,1,0,1
"Fn3k",0,1,0,1
"Fndc10",0,1,0,1
"Fos",0,1,0,1
"Fosl1",1,0,1,0
"Foxa3",0,0,1,0
"Foxc1",0,1,0,1
"Foxj1",0,1,0,1
"Foxk2",1,0,1,0
"Foxl1",0,0,1,0
"Foxm1",1,0,1,0
"Foxn2",0,0,1,0
"Foxo3",0,1,0,1
"Foxo4",0,1,0,1
"Foxo6",0,1,0,1
"Fpgs",1,0,1,0
"Frat1",0,1,0,1
"Frmd4a",0,0,1,0
"Frmd4b",0,0,0,1
"Frmd6",0,0,0,1
"Fscn1",0,0,0,1
"Fst",1,0,1,0
"Fth1",0,0,1,0
"Ftl1",0,1,0,0
"Ftsj3",0,0,1,0
"Fubp1",0,0,1,0
"Fut1",0,0,1,0
"Fut2",0,1,0,0
"Fut8",0,0,1,0
"Fuz",0,1,0,1
"Fxyd1",0,1,0,1
"Fxyd5",1,0,1,0
"Fyb2",1,0,1,0
"Fyco1",0,1,0,1
"Fzd2",0,0,0,1
"Fzd8",0,1,0,0
"G3bp1",0,0,1,0
"G3bp2",0,0,1,0
"Gab1",0,1,0,1
"Gabarapl1",0,1,0,1
"Gad2",0,0,1,0
"Gadd45a",0,1,0,1
"Gadd45b",0,1,0,1
"Galnt11",0,0,0,1
"Galnt12",1,0,1,0
"Galnt15",0,1,0,1
"Galnt16",0,1,0,1
"Galnt7",0,0,0,1
"Ganc",0,0,0,1
"Gap43",1,0,1,0
"Gar1",1,0,1,0
"Garem1",0,0,0,1
"Garem2",0,1,0,1
"Garin1b",1,0,0,0
"Garre1",0,0,1,0
"Gart",1,0,1,0
"Gas1",0,1,0,1
"Gas2l3",1,0,1,0
"Gas6",0,1,0,0
"Gbp10",0,1,0,1
"Gbp11",0,1,0,1
"Gbp2",0,1,0,1
"Gbp2b",0,1,0,0
"Gbp3",0,1,0,1
"Gbp4",0,1,0,1
"Gbp5",0,1,0,0
"Gbp6",0,1,0,1
"Gbp7",0,1,0,1
"Gbp8",0,1,0,1
"Gbp9",0,1,0,1
"Gcat",1,0,0,0
"Gchfr",1,0,1,0
"Gcnt1",0,1,0,1
"Gcnt2",0,1,0,1
"Gcnt3",0,0,1,0
"Gdf15",0,0,1,0
"Gdi1",0,1,0,1
"Gdpd2",0,1,0,1
"Gdpd3",0,1,0,1
"Gdpd5",0,0,0,1
"Gem",0,1,0,1
"Gemin4",0,0,1,0
"Gemin5",0,0,1,0
"Gemin6",1,0,1,0
"Gen1",1,0,1,0
"Gfm1",1,0,1,0
"Gfod1",0,0,1,0
"Gfra1",0,0,0,1
"Gfra2",0,0,0,1
"Ggnbp1",0,1,0,1
"Ghdc",0,1,0,0
"Ghitm",0,0,1,0
"Ghr",0,0,0,1
"Gins1",1,0,1,0
"Gins2",1,0,1,0
"Gins3",1,0,1,0
"Gipc2",0,0,0,1
"Gja1",1,0,1,0
"Gjb4",0,0,1,0
"Gk",1,0,1,0
"Gla",0,1,0,0
"Glcci1",0,1,0,1
"Gli1",0,0,1,0
"Glipr1",0,0,0,1
"Glipr2",1,0,1,0
"Glis3",0,1,0,1
"Glrp1",0,0,1,0
"Glrx",0,1,0,1
"Gls2",0,0,0,1
"Glt8d1",0,0,0,1
"Glul",0,0,0,1
"Gm15433",0,1,0,1
"Gm2a",0,0,0,1
"Gm6525",0,0,1,0
"Gmfg",0,0,1,0
"Gmnn",1,0,1,0
"Gmppb",0,0,1,0
"Gmpr",0,0,0,1
"Gna13",0,0,0,1
"Gnal",0,1,0,1
"Gnb2",1,0,1,0
"Gng11",0,0,0,1
"Gng8",0,1,0,1
"Gnl3",0,0,1,0
"Gnpnat1",1,0,1,0
"Golm2",0,0,1,0
"Golt1b",1,0,1,0
"Got1",0,0,1,0
"Gpatch4",1,0,1,0
"Gpd2",0,0,1,0
"Gper1",0,0,0,1
"Gpm6b",0,1,0,1
"Gpn1",0,0,1,0
"Gpn2",0,0,1,0
"Gpnmb",0,1,0,1
"Gpr135",0,0,0,1
"Gpr137b",0,1,0,0
"Gpr137c",0,1,0,1
"Gpr146",0,1,0,1
"Gpr149",1,0,1,0
"Gpr173",0,0,0,1
"Gpr179",0,1,0,1
"Gpr19",0,1,0,0
"Gpr27",0,1,0,0
"Gpr75",0,1,0,1
"Gpr88",0,0,0,1
"Gprasp2",0,1,0,1
"Gprc5a",0,0,1,0
"Gprc5c",0,1,0,1
"Grb10",0,0,1,0
"Greb1",1,0,0,0
"Grem1",1,0,1,0
"Grhl2",1,0,1,0
"Gria3",0,1,0,1
"Gria4",0,1,0,0
"Grid1",0,0,1,0
"Grin2c",0,1,0,0
"Grina",0,1,0,1
"Grk4",0,0,0,1
"Grk6",1,0,1,0
"Grm7",0,1,0,1
"Grn",0,1,0,0
"Grwd1",1,0,1,0
"Gsap",0,1,0,1
"Gsdma",0,1,0,1
"Gsn",0,0,0,1
"Gspt1",1,0,1,0
"Gsta1",1,0,1,0
"Gsta2",1,0,1,0
"Gsta3",1,0,0,0
"Gstcd",1,0,1,0
"Gstm1",0,1,0,1
"Gstm2",0,0,0,1
"Gstm6",0,1,0,0
"Gstm7",0,0,1,0
"Gsto2",0,1,0,1
"Gstp1",0,1,0,0
"Gstp2",0,0,1,0
"Gstp3",0,1,0,0
"Gstt1",0,0,0,1
"Gsx1",1,0,1,0
"Gtf3c6",1,0,1,0
"Gtse1",1,0,1,0
"Gvin1",0,1,0,0
"Gvin2",0,1,0,1
"Gxylt2",0,0,0,1
"Gypc",0,0,1,0
"Gzmm",0,1,0,1
"H1f2",0,1,0,1
"H1f3",0,1,0,0
"H2ac15",1,0,1,0
"H2ac18",0,1,0,1
"H2ac24",1,0,1,0
"H2ac25",0,1,0,1
"H2ac6",0,1,0,1
"H2ac7",1,0,1,0
"H2ax",0,0,1,0
"H2az1",1,0,1,0
"H2bc21",0,1,0,1
"H2bc23",0,1,0,0
"H2bc24",0,1,0,1
"H2bc27",0,1,0,1
"H2bc4",0,1,0,1
"H2bc6",0,1,0,1
"H2bc8",0,1,0,0
"H3c15",0,1,0,0
"H3c3",0,0,1,0
"H3c4",0,1,0,1
"H3f3a",0,0,0,1
"H4c12",0,1,0,0
"H4c14",0,1,0,1
"H4c9",0,1,0,0
"Hacd4",0,0,0,1
"Hacl1",0,0,0,1
"Haghl",0,0,0,1
"Hapln4",0,0,1,0
"Haspin",1,0,1,0
"Hat1",1,0,1,0
"Haus1",1,0,1,0
"Haus3",1,0,1,0
"Haus5",1,0,1,0
"Haus6",1,0,1,0
"Haus7",0,0,1,0
"Havcr2",1,0,0,0
"Hbegf",1,0,0,0
"Hbp1",0,1,0,1
"Hccs",0,0,1,0
"Hck",1,0,0,0
"Hdac11",0,1,0,1
"Hdac5",0,1,0,1
"Hdac9",0,1,0,1
"Hdlbp",0,0,1,0
"Heatr3",0,0,1,0
"Heg1",0,0,0,1
"hEGFR",0,0,1,0
"Hells",1,0,1,0
"Helz2",0,1,0,0
"Heph",0,1,0,1
"Herc6",0,1,0,0
"Hes1",0,0,1,0
"Hexb",0,0,0,1
"Hey1",0,0,0,1
"Hhatl",0,1,0,1
"Higd1a",0,0,1,0
"Hipk3",0,0,0,1
"Hirip3",1,0,1,0
"Hjurp",1,0,1,0
"Hk1",0,0,0,1
"Hk2",1,0,1,0
"Hlf",0,1,0,0
"Hmbs",0,0,1,0
"Hmcn1",0,1,0,0
"Hmcn2",0,1,0,1
"Hmga1",1,0,1,0
"Hmga1b",1,0,1,0
"Hmga2",1,0,1,0
"Hmgb1",0,0,1,0
"Hmgb2",1,0,1,0
"Hmgcl",0,0,0,1
"Hmgcr",1,0,1,0
"Hmgcs1",1,0,1,0
"Hmgcs2",0,1,0,1
"Hmgn1",0,0,1,0
"Hmgn2",1,0,1,0
"Hmgn5",1,0,1,0
"Hmmr",1,0,1,0
"Hmx2",1,0,1,0
"Hnrnpa3",1,0,1,0
"Hnrnpab",1,0,1,0
"Hnrnpd",1,0,1,0
"Hoga1",0,1,0,1
"Homer1",1,0,1,0
"Hoxa2",0,0,0,1
"Hoxa4",0,1,0,1
"Hoxb5",0,1,0,1
"Hoxb8",0,1,0,1
"Hoxc6",0,0,0,1
"Hpf1",0,0,1,0
"Hpgds",0,0,0,1
"Hps1",0,0,0,1
"Hrc",0,0,0,1
"Hrob",1,0,1,0
"Hs6st1",0,1,0,1
"Hscb",0,1,0,1
"Hsd11b1",0,1,0,1
"Hsd17b1",0,1,0,1
"Hsd17b11",0,1,0,1
"Hsd17b7",1,0,1,0
"Hsdl2",0,1,0,1
"Hsf4",0,0,0,1
"Hsp90b1",1,0,1,0
"Hspa14",1,0,1,0
"Hspa1a",0,0,0,1
"Hspa1b",0,1,0,1
"Hspa4",0,0,1,0
"Hspa5",0,0,1,0
"Hspa9",0,0,1,0
"Hspd1",1,0,1,0
"Hsph1",0,0,1,0
"Htr2a",1,0,1,0
"Htr3a",0,1,0,1
"Htra1",1,0,1,0
"Hunk",0,0,0,1
"Hyal1",0,1,0,1
"Hyal3",0,1,0,1
"Hykk",0,0,0,1
"Hyou1",0,0,1,0
"Ica1",0,0,1,0
"Icam5",0,0,0,1
"Id3",0,0,0,1
"Idh3a",0,0,1,0
"Idi1",1,0,1,0
"Idua",0,1,0,1
"Ier2",0,0,1,0
"Iffo2",1,0,1,0
"Ifi202b",0,1,0,1
"Ifi204",0,1,0,0
"Ifi207",0,1,0,0
"Ifi211",0,1,0,0
"Ifi27",0,1,0,1
"Ifi27l2a",0,1,0,1
"Ifi30",0,0,0,1
"Ifi35",0,1,0,0
"Ifi44",0,1,0,1
"Ifi47",0,1,0,1
"Ifih1",0,1,0,1
"Ifit1",0,1,0,1
"Ifit1bl1",0,1,0,1
"Ifit1bl2",0,1,0,1
"Ifit2",0,0,0,1
"Ifit3",0,1,0,1
"Ifit3b",0,1,0,1
"Ifitm3",0,1,0,1
"Ifnlr1",0,1,0,1
"Ifrd1",0,0,1,0
"Ifrd2",1,0,1,0
"Igbp1",0,0,0,1
"Igdcc4",0,0,0,1
"Igf2",0,1,0,1
"Igf2bp1",1,0,1,0
"Igfbp3",1,0,1,0
"Igfbpl1",0,0,0,1
"Igip",0,1,0,1
"Iglon5",0,0,0,1
"Igtp",0,1,0,1
"Iigp1",0,1,0,1
"Ikbke",0,0,0,1
"Ikzf2",0,1,0,1
"Il10rb",0,1,0,0
"Il11",0,0,1,0
"Il11ra1",0,0,0,1
"Il13ra1",0,1,0,1
"Il17rd",0,1,0,1
"Il18",0,1,0,1
"Il18rap",1,0,1,0
"Il1r1",1,0,0,0
"Il33",0,0,1,0
"Il34",1,0,1,0
"Il4ra",0,1,0,0
"Il6",0,1,0,0
"Immp2l",0,1,0,0
"Immt",0,0,1,0
"Imp4",0,0,1,0
"Impdh1",0,0,1,0
"Inafm1",0,1,0,1
"Inca1",0,1,0,1
"Incenp",1,0,1,0
"Ing4",0,0,0,1
"Ing5",0,0,1,0
"Inha",0,0,0,1
"Inhbb",0,0,0,1
"Inka1",0,1,0,1
"Inka2",0,0,0,1
"Ino80b",0,1,0,1
"Inpp4b",1,0,1,0
"Inpp5a",0,1,0,0
"Inpp5d",0,0,1,0
"Inpp5k",0,1,0,1
"Insig1",1,0,0,0
"Insl3",0,1,0,1
"Insr",0,1,0,0
"Insyn2a",0,0,1,0
"Ints1",1,0,1,0
"Ip6k2",0,1,0,1
"Ip6k3",0,0,0,1
"Ipo13",0,0,0,1
"Ipo5",0,0,1,0
"Iqank1",0,0,0,1
"Iqcd",0,0,0,1
"Iqcg",0,0,0,1
"Iqck",0,0,1,0
"Iqgap2",0,0,1,0
"Iqgap3",1,0,1,0
"Iqsec2",0,0,0,1
"Irak2",0,0,0,1
"Irak3",0,0,0,1
"Irf1",0,1,0,1
"Irf4",1,0,1,0
"Irf7",0,1,0,1
"Irf9",0,1,0,1
"Irgm1",0,1,0,1
"Irgm2",0,1,0,1
"Irs1",0,1,0,1
"Irs2",0,0,0,1
"Irs4",0,1,0,1
"Isg15",0,1,0,1
"Isg20",0,1,0,0
"Islr",0,1,0,1
"Isoc2b",0,1,0,1
"Itfg1",0,0,0,1
"Itga10",0,0,0,1
"Itga2",0,1,0,0
"Itga2b",0,1,0,1
"Itga3",1,0,1,0
"Itga5",0,0,1,0
"Itga6",0,0,1,0
"Itgb3",0,0,1,0
"Itgb7",0,0,1,0
"Itgb8",0,1,0,1
"Itih2",0,1,0,0
"Itih5",0,1,0,1
"Itm2b",0,1,0,1
"Itpa",0,0,1,0
"Itpka",0,0,0,1
"Itpkb",0,0,0,1
"Itpkc",0,1,0,1
"Itpr1",0,0,1,0
"Izumo4",0,0,0,1
"Jag1",0,0,1,0
"Jak3",0,1,0,1
"Jam2",0,1,0,1
"Jdp2",1,0,1,0
"Jpt2",1,0,1,0
"Jun",0,0,1,0
"Junb",0,1,0,0
"Jup",0,0,0,1
"Kalrn",0,1,0,1
"Kank3",0,1,0,1
"Kat2a",0,0,1,0
"Katnal2",0,0,1,0
"Kazald1",0,1,0,1
"Kbtbd11",0,1,0,0
"Kbtbd6",1,0,1,0
"Kbtbd8",0,0,1,0
"Kcnab1",0,1,0,1
"Kcnc3",0,0,0,1
"Kcnd3",0,1,0,1
"Kcnh1",1,0,0,0
"Kcnh2",0,1,0,1
"Kcnh3",0,0,0,1
"Kcnip1",0,0,1,0
"Kcnj10",0,1,0,1
"Kcnj12",0,0,1,0
"Kcnj2",0,1,0,1
"Kcnk1",0,0,1,0
"Kcnk10",1,0,1,0
"Kcnk2",1,0,0,0
"Kcnmb1",0,1,0,0
"Kcnn1",0,0,0,1
"Kcnn4",0,0,1,0
"Kcnq1",0,0,0,1
"Kcnq4",0,1,0,1
"Kcp",0,1,0,0
"Kctd1",0,0,0,1
"Kctd21",0,0,0,1
"Kctd7",0,0,0,1
"Kctd9",1,0,1,0
"Kdelr2",0,0,1,0
"Kdm3a",0,1,0,1
"Kdm4b",0,0,0,1
"Kdm5b",0,1,0,1
"Kdm5d",0,1,0,1
"Kdm6b",0,0,0,1
"Kdm7a",0,1,0,1
"Kdm8",1,0,1,0
"Khk",0,1,0,1
"Khnyn",0,0,0,1
"Kif11",1,0,1,0
"Kif13b",0,0,0,1
"Kif14",1,0,1,0
"Kif15",1,0,1,0
"Kif17",1,0,1,0
"Kif18a",1,0,1,0
"Kif18b",1,0,1,0
"Kif1b",0,0,0,1
"Kif20a",1,0,1,0
"Kif20b",1,0,1,0
"Kif21a",0,0,0,1
"Kif22",1,0,1,0
"Kif23",1,0,1,0
"Kif24",1,0,1,0
"Kif26b",0,0,0,1
"Kif2c",1,0,1,0
"Kif4",1,0,1,0
"Kif5a",0,1,0,1
"Kif9",0,1,0,1
"Kifc1",1,0,1,0
"Kifc2",0,1,0,1
"Kifc3",0,0,0,1
"Kifc5b",1,0,1,0
"Kirrel3",0,0,0,1
"Kiss1r",0,1,0,1
"Kitl",0,0,1,0
"Kiz",0,0,0,1
"Klc3",0,1,0,1
"Klc4",0,1,0,1
"Klf10",0,1,0,1
"Klf11",0,1,0,0
"Klf12",0,1,0,0
"Klf13",0,0,0,1
"Klf15",0,0,0,1
"Klf2",0,0,1,0
"Klf4",0,0,1,0
"Klf7",0,0,0,1
"Klf9",0,1,0,0
"Klhdc8a",0,1,0,1
"Klhdc8b",0,1,0,1
"Klhl10",0,0,0,1
"Klhl17",0,0,0,1
"Klhl24",0,1,0,1
"Klhl26",0,0,0,1
"Klhl3",0,0,0,1
"Klhl32",0,1,0,1
"Klhl36",0,0,0,1
"Klhl4",0,1,0,1
"Klhl40",0,1,0,1
"Klk10",1,0,1,0
"Klk1b24",0,0,0,1
"Klk8",1,0,1,0
"Klra1",1,0,0,0
"Klra2",0,0,1,0
"Klra4",1,0,1,0
"Kmt2c",0,0,0,1
"Kmt5a",1,0,1,0
"Kmt5c",0,0,0,1
"Kng1",0,1,0,1
"Kng2",0,1,0,0
"Knl1",1,0,1,0
"Knop1",1,0,1,0
"Knstrn",1,0,1,0
"Kntc1",1,0,1,0
"Kpna2",1,0,1,0
"Kpnb1",0,0,1,0
"Kras",0,0,1,0
"Krr1",0,0,1,0
"Krt12",1,0,1,0
"Krt13",1,0,1,0
"Krt19",1,0,1,0
"Krt20",1,0,1,0
"Krt8",1,0,1,0
"Krt80",1,0,1,0
"Kti12",0,0,1,0
"Kxd1",0,0,0,1
"L1cam",0,0,0,1
"L2hgdh",0,0,0,1
"L3mbtl2",1,0,1,0
"Lacc1",0,0,1,0
"Lactb",0,0,0,1
"Lama2",0,1,0,1
"Lama4",1,0,1,0
"Lamb2",0,1,0,1
"Lamc2",0,0,1,0
"Lamp2",0,1,0,1
"Larp1",0,0,1,0
"Las1l",1,0,1,0
"Lat2",1,0,1,0
"Lbh",1,0,1,0
"Lbp",0,1,0,1
"Lbr",1,0,1,0
"Lca5",1,0,0,0
"Lca5l",0,1,0,1
"Lclat1",0,0,1,0
"Lcn2",0,1,0,0
"Lctl",0,0,0,1
"Ldb1",0,0,0,1
"Ldb3",0,1,0,1
"Ldha",0,0,1,0
"Ldlr",1,0,1,0
"Lect2",0,0,1,0
"Leng9",0,0,0,1
"Leo1",1,0,1,0
"Letm2",0,0,0,1
"Lgals1",1,0,0,0
"Lgals3bp",0,1,0,0
"Lgals4",0,1,0,1
"Lgals9",0,1,0,1
"Lgi4",0,1,0,1
"Lgmn",0,1,0,1
"Lgr6",1,0,1,0
"Lgsn",1,0,1,0
"Lif",0,0,1,0
"Lig1",1,0,1,0
"Limch1",0,1,0,1
"Limk2",0,0,0,1
"Lin54",1,0,1,0
"Lin9",0,0,1,0
"Lingo2",1,0,1,0
"Lipg",1,0,1,0
"Lipt2",1,0,1,0
"Lix1l",0,0,0,1
"Llgl2",0,0,0,1
"Llph",0,0,1,0
"Lmbr1l",0,0,0,1
"Lmnb1",1,0,1,0
"Lmnb2",1,0,1,0
"Lmntd2",0,1,0,1
"Lmo2",0,1,0,0
"Lnx2",1,0,1,0
"Lonp1",0,0,1,0
"Lonrf2",0,1,0,1
"Lonrf3",0,0,1,0
"Loxl1",0,1,0,1
"Loxl2",0,1,0,1
"Loxl3",0,0,0,1
"Lpar6",0,1,0,1
"Lpgat1",0,0,1,0
"Lpin1",0,0,0,1
"Lpin3",1,0,1,0
"Lpl",0,0,1,0
"Lratd2",0,0,1,0
"Lrguk",0,1,0,0
"Lrp1",0,0,0,1
"Lrp3",0,0,0,1
"Lrp4",0,1,0,1
"Lrp8",1,0,1,0
"Lrr1",1,0,1,0
"Lrrc14b",0,1,0,1
"Lrrc18",0,1,0,1
"Lrrc32",0,1,0,0
"Lrrc39",0,1,0,1
"Lrrc4",0,0,0,1
"Lrrc4b",0,1,0,1
"Lrrc51",0,1,0,1
"Lrrc56",0,1,0,1
"Lrrc58",0,0,0,1
"Lrrc59",1,0,1,0
"Lrrc61",0,0,0,1
"Lrrc74b",0,0,0,1
"Lrrc75a",0,0,0,1
"Lrrfip1",1,0,1,0
"Lrrk2",0,0,1,0
"Lrrn3",0,1,0,1
"Lrrn4cl",0,1,0,1
"Lsg1",0,0,1,0
"Lsm11",0,0,1,0
"Lsm12",0,0,1,0
"Lsm2",1,0,1,0
"Lsm3",1,0,1,0
"Lsm4",1,0,1,0
"Lsm5",1,0,1,0
"Lsm6",1,0,1,0
"Lsm7",0,0,1,0
"Lsm8",0,0,1,0
"Lss",1,0,1,0
"Ltbp1",1,0,1,0
"Ltbp4",0,0,0,1
"Ltv1",1,0,1,0
"Lxn",1,0,1,0
"Ly6e",0,1,0,0
"Ly75",0,0,1,0
"Lyar",1,0,1,0
"Lyn",0,0,1,0
"Lynx1",0,1,0,1
"Lysmd4",0,0,0,1
"Lyz2",0,0,1,0
"Macrod1",0,1,0,1
"Mad2l1",1,0,1,0
"Maf",0,1,0,1
"Mafa",0,0,0,1
"Maff",1,0,1,0
"Mafk",0,0,0,1
"Magel2",0,0,1,0
"Magi2",0,1,0,1
"Magoh",0,0,1,0
"Magohb",1,0,1,0
"Mak16",0,0,1,0
"Mal",0,0,1,0
"Maml2",0,0,0,1
"Mamstr",0,1,0,1
"Man1c1",0,0,0,1
"Man2b2",0,1,0,1
"Manf",1,0,1,0
"Mansc1",0,1,0,1
"Maoa",0,1,0,1
"Maob",0,1,0,1
"Map1a",0,0,1,0
"Map1b",1,0,1,0
"Map1lc3a",0,0,0,1
"Map2k3",1,0,1,0
"Map2k6",0,0,0,1
"Map3k12",0,1,0,1
"Map3k8",0,1,0,0
"Map3k9",0,0,1,0
"Map4k1",0,1,0,1
"Map6",1,0,0,0
"Map9",1,0,0,0
"Mapk10",0,0,0,1
"Mapk1ip1",0,1,0,1
"Mapk3",0,1,0,1
"Mapk4",0,0,1,0
"Mapk6",1,0,1,0
"Mapk8ip3",0,0,0,1
"Mapkapk3",0,0,0,1
"Mapt",0,1,0,1
"Marchf10",0,0,0,1
"Marchf3",0,0,0,1
"Marchf4",0,0,1,0
"Marcks",0,1,0,1
"Mars1",0,0,1,0
"Marveld1",0,1,0,0
"Masp1",0,0,0,1
"Masp2",0,0,0,1
"Mast1",0,0,1,0
"Mastl",1,0,1,0
"Matk",0,0,0,1
"Matn2",0,0,0,1
"Matn3",1,0,1,0
"Mbd3",0,0,1,0
"Mbp",0,0,0,1
"Mcam",0,0,1,0
"Mcc",0,0,0,1
"Mcm10",1,0,1,0
"Mcm2",1,0,1,0
"Mcm3",1,0,1,0
"Mcm4",1,0,1,0
"Mcm5",1,0,1,0
"Mcm6",1,0,1,0
"Mcm7",1,0,1,0
"Mcm8",1,0,1,0
"Mcoln1",0,1,0,1
"Mcph1",0,0,1,0
"Mcpt8",0,0,1,0
"Mcrip2",0,0,1,0
"Mctp1",0,1,0,1
"Mctp2",0,1,0,1
"Mdh1",1,0,0,0
"Mdm1",0,0,1,0
"Mdm2",0,0,0,1
"Mdn1",0,0,1,0
"Me2",1,0,1,0
"Me3",0,1,0,1
"Med10",1,0,1,0
"Med19",0,0,1,0
"Med8",0,0,1,0
"Mef2c",0,1,0,1
"Megf8",0,0,0,1
"Mei4",0,0,1,0
"Meiob",0,1,0,1
"Meis1",0,0,0,1
