"","Afatinib.down_Neratinib.down","Afatinib.up_Neratinib.up","Afatinib.down_NA","Afatinib.up_NA","Neratinib.down_NA","Neratinib.up_NA"
"363","Kif18b","Hyal1",NA,NA,"Nkrf","Klf13"
"364","Kif20a","Hyal3",NA,NA,"Nlrc3","Klf15"
"365","Kif20b","Idua",NA,NA,"Nmd3","Klf7"
"366","Kif22","Ifi202b",NA,NA,"Nmt2","Klhl10"
"367","Kif23","Ifi27",NA,NA,"Noc4l","Klhl17"
"368","Kif24","Ifi27l2a",NA,NA,"Nol11","Klhl26"
"369","Kif2c","Ifi44",NA,NA,"Nol8","Klhl3"
"370","Kif4","Ifi47",NA,NA,"Nova1","Klhl36"
"371","Kifc1","Ifih1",NA,NA,"Nphp4","Klk1b24"
"372","Kifc5b","Ifit1",NA,NA,"Nqo1","Kmt2c"
"373","Klk10","Ifit1bl1",NA,NA,"Nrp2","Kmt5c"
"374","Klk8","Ifit1bl2",NA,NA,"Nsd2","Kxd1"
"375","Klra4","Ifit3",NA,NA,"Nsun2","L1cam"
"376","Kmt5a","Ifit3b",NA,NA,"Nucb2","L2hgdh"
"377","Knl1","Ifitm3",NA,NA,"Nudc","Lactb"
"378","Knop1","Ifnlr1",NA,NA,"Nudcd1","Lctl"
"379","Knstrn","Igf2",NA,NA,"Nudcd2","Ldb1"
"380","Kntc1","Igip",NA,NA,"Nudt1","Leng9"
"381","Kpna2","Igtp",NA,NA,"Nudt15","Letm2"
"382","Krt12","Iigp1",NA,NA,"Nup188","Limk2"
"383","Krt13","Ikzf2",NA,NA,"Nup210l","Lix1l"
"384","Krt19","Il13ra1",NA,NA,"Nup35","Llgl2"
"385","Krt20","Il17rd",NA,NA,"Nup37","Lmbr1l"
"386","Krt8","Il18",NA,NA,"Nup50","Loxl3"
"387","Krt80","Inafm1",NA,NA,"Nup54","Lpin1"
"388","L3mbtl2","Inca1",NA,NA,"Nupr1","Lrp1"
"389","Lama4","Inka1",NA,NA,"Nus1","Lrp3"
"390","Las1l","Ino80b",NA,NA,"Nxph4","Lrrc4"
"391","Lat2","Inpp5k",NA,NA,"Nxt1","Lrrc58"
"392","Lbh","Insl3",NA,NA,"Odf2","Lrrc61"
"393","Lbr","Ip6k2",NA,NA,"Ormdl2","Lrrc74b"
"394","Ldlr","Irf1",NA,NA,"Ostc","Lrrc75a"
"395","Leo1","Irf7",NA,NA,"P2rx3","Ltbp4"
"396","Lgr6","Irf9",NA,NA,"P2ry2","Lysmd4"
"397","Lgsn","Irgm1",NA,NA,"Paip1","Mafa"
"398","Lig1","Irgm2",NA,NA,"Pak4","Mafk"
"399","Lin54","Irs1",NA,NA,"Pals2","Maml2"
"400","Lingo2","Irs4",NA,NA,"Pard6b","Man1c1"
"401","Lipg","Isg15",NA,NA,"Paxip1","Map1lc3a"
"402","Lipt2","Islr",NA,NA,"Pbdc1","Map2k6"
"403","Lmnb1","Isoc2b",NA,NA,"Pck2","Mapk10"
"404","Lmnb2","Itga2b",NA,NA,"Pdap1","Mapk8ip3"
"405","Lnx2","Itgb8",NA,NA,"Pdcd11","Mapkapk3"
"406","Lpin3","Itih5",NA,NA,"Pde2a","Marchf10"
"407","Lrp8","Itm2b",NA,NA,"Pde4b","Marchf3"
"408","Lrr1","Itpkc",NA,NA,"Pdia3","Masp1"
"409","Lrrc59","Jak3",NA,NA,"Pdxk","Masp2"
"410","Lrrfip1","Jam2",NA,NA,"Peak1","Matk"
"411","Lsm2","Kalrn",NA,NA,"Peg10","Matn2"
"412","Lsm3","Kank3",NA,NA,"Pfas","Mbp"
"413","Lsm4","Kazald1",NA,NA,"Pgf","Mcc"
"414","Lsm5","Kcnab1",NA,NA,"Pgp","Mdm2"
"415","Lsm6","Kcnd3",NA,NA,"Phc2","Megf8"
"416","Lss","Kcnh2",NA,NA,"Phex","Meis1"
"417","Ltbp1","Kcnj10",NA,NA,"Phf10","Mettl21a"
"418","Ltv1","Kcnj2",NA,NA,"Phf5a","Mgat3"
"419","Lxn","Kcnq4",NA,NA,"Pi15","Mical1"
"420","Lyar","Kdm3a",NA,NA,"Pik3ap1","Midn"
"421","Mad2l1","Kdm5b",NA,NA,"Pin1","Miga1"
"422","Maff","Kdm5d",NA,NA,"Pinx1","Mindy2"
"423","Magohb","Kdm7a",NA,NA,"Pla2g4c","Mindy4"
"424","Manf","Khk",NA,NA,"Plat","Mkrn3"
"425","Map1b","Kif5a",NA,NA,"Plekha3","Mllt3"
"426","Map2k3","Kif9",NA,NA,"Plekhh1","Mmp15"
"427","Mapk6","Kifc2",NA,NA,"Plet1","Morn2"
"428","Mastl","Kiss1r",NA,NA,"Plk3","Mpp2"
"429","Matn3","Klc3",NA,NA,"Plscr1","Mpp7"
"430","Mcm10","Klc4",NA,NA,"Plscr2","Mrc2"
"431","Mcm2","Klf10",NA,NA,"Pno1","Mt1"
"432","Mcm3","Klhdc8a",NA,NA,"Pnpt1","Mtmr11"
"433","Mcm4","Klhdc8b",NA,NA,"Pofut2","Mtss1"
"434","Mcm5","Klhl24",NA,NA,"Pold2","Mvp"
"435","Mcm6","Klhl32",NA,NA,"Pole3","Mxi1"
"436","Mcm7","Klhl4",NA,NA,"Polh","Mylip"
"437","Mcm8","Klhl40",NA,NA,"Polr1a","Myo10"
"438","Me2","Kng1",NA,NA,"Polr1b","Myo6"
"439","Med10","Lama2",NA,NA,"Polr3d","Myorg"
"440","Melk","Lamb2",NA,NA,"Polr3e","Nacad"
"441","Mest","Lamp2",NA,NA,"Popdc3","Nap1l3"
"442","Mfsd2a","Lbp",NA,NA,"Pou2f2","Napepld"
"443","Mgat4a","Lca5l",NA,NA,"Ppan","Nat14"
"444","Mgme1","Ldb3",NA,NA,"Ppid","Natd1"
"445","Micall2","Lgals4",NA,NA,"Ppif","Ncald"
"446","Mis12","Lgals9",NA,NA,"Ppip5k2","Ncam1"
"447","Mis18a","Lgi4",NA,NA,"Ppm1g","Ndst2"
"448","Mis18bp1","Lgmn",NA,NA,"Ppp1r8","Nek8"
"449","Mki67","Limch1",NA,NA,"Pprc1","Nemp2"
"450","Mlec","Lmntd2",NA,NA,"Prep","Nfatc4"
"451","Mlf1","Lonrf2",NA,NA,"Prkcb","Nhej1"
"452","Mms22l","Loxl1",NA,NA,"Prmt1","Nicn1"
"453","Mnd1","Loxl2",NA,NA,"Prmt5","Nipal4"
"454","Mns1","Lpar6",NA,NA,"Prokr1","Nkain2"
"455","Mphosph10","Lrp4",NA,NA,"Prps1","Nlrx1"
"456","Mre11a","Lrrc14b",NA,NA,"Prr7","Nod1"
"457","Mrps6","Lrrc18",NA,NA,"Psma1","Npdc1"
"458","Mrto4","Lrrc39",NA,NA,"Psma4","Npepps"
"459","Msmo1","Lrrc4b",NA,NA,"Psma7","Nr1d1"
"460","Mtbp","Lrrc51",NA,NA,"Psmc4","Nr1h3"
"461","Mtfr2","Lrrc56",NA,NA,"Psmd1","Nr2e1"
"462","Mthfd1","Lrrn3",NA,NA,"Psmd11","Nradd"
"463","Mthfd1l","Lrrn4cl",NA,NA,"Psmd14","Ntn4"
"464","Mthfd2","Lynx1",NA,NA,"Psmd7","Nuak2"
"465","Mtmr10","Macrod1",NA,NA,"Psmg1","Odad3"
"466","Mutyh","Maf",NA,NA,"Ptbp1","Olfml2b"
"467","Mvd","Magi2",NA,NA,"Ptcd3","Oplah"
"468","Mvk","Mamstr",NA,NA,"Ptchd1","Opn1sw"
"469","Mxd3","Man2b2",NA,NA,"Ptchd4","Os9"
"470","Mybl1","Mansc1",NA,NA,"Ptger4","Osbp2"
"471","Mybl2","Maoa",NA,NA,"Ptges3","Otx1"
"472","Myc","Maob",NA,NA,"Ptma","P2rx5"
"473","Myef2","Map3k12",NA,NA,"Ptpn6","P3h3"
"474","Myef2l","Map4k1",NA,NA,"Ptprt","P4ha1"
"475","Myl12a","Mapk1ip1",NA,NA,"Purb","Pabpc1l"
"476","Naa15","Mapk3",NA,NA,"Pus7l","Pacs2"
"477","Naa25","Mapt",NA,NA,"Pvr","Pak3"
"478","Naaladl1","Marcks",NA,NA,"Pwp1","Palld"
"479","Nans","Mcoln1",NA,NA,"Pygl","Papln"
"480","Nasp","Mctp1",NA,NA,"Qpct","Parp3"
"481","Ncapd2","Mctp2",NA,NA,"Qtrt2","Pbld2"
"482","Ncapd3","Me3",NA,NA,"Rab39b","Pcdhgc3"
"483","Ncapg","Mef2c",NA,NA,"Rad50","Pcdhgc5"
"484","Ncapg2","Meiob",NA,NA,"Radx","Pcmtd1"
"485","Ncaph","Meis3",NA,NA,"Raet1d","Pcolce"
"486","Ndc1","Mep1a",NA,NA,"Rarb","Pde1b"
"487","Ndc80","Mertk",NA,NA,"Rasa2","Pde8b"
"488","Nde1","Mettl27",NA,NA,"Rbm20","Pdgfc"
"489","Ndst3","Mfsd12",NA,NA,"Rcc2","Pdgfra"
"490","Neil3","Mfsd4b1",NA,NA,"Rcl1","Pdlim2"
"491","Nek2","Mgarp",NA,NA,"Reep4","Pdzd2"
"492","Nes","Mgst1",NA,NA,"Reep6","Pdzk1"
"493","Neurl1b","Mindy1",NA,NA,"Relt","Pdzk1ip1"
"494","Ngef","Mkx",NA,NA,"Ret","Peli2"
"495","Ngf","Mlycd",NA,NA,"Rexo2","Per1"
"496","Ngfr","Mme",NA,NA,"Rgs14","Per2"
"497","Nhp2","Mmp11",NA,NA,"Rgs19","Pex6"
"498","Nifk","Mmp19",NA,NA,"Rhof","Pfkfb2"
"499","Nme1","Mmp23",NA,NA,"Ric3","Pgm2l1"
"500","Noc3l","Mmp28",NA,NA,"Riok2","Phactr1"
"501","Noct","Mobp",NA,NA,"Rpa1","Pheta1"
"502","Nol10","Mr1",NA,NA,"Rpl7l1","Phf21b"
"503","Nol9","Mrgprb5",NA,NA,"Rpn2","Phf7"
"504","Nolc1","Mrgpre",NA,NA,"Rpp30","Phkg1"
"505","Nop16","Mst1r",NA,NA,"Rps6ka3","Pidd1"
"506","Nop2","Mt2",NA,NA,"Rps6ka4","Pik3c2b"
"507","Nop56","Mtss2",NA,NA,"Rrp9","Pik3r1"
"508","Nop58","Mturn",NA,NA,"Rwdd4a","Pik3r2"
"509","Npnt","Mtus1",NA,NA,"Samd4b","Pinlyp"
"510","Nppb","Mx1",NA,NA,"Sarnp","Pip5kl1"
"511","Nptx1","Mx2",NA,NA,"Sash3","Pitpnc1"
"512","Nptxr","Mxd1",NA,NA,"Scd4","Pitpnm2"
"513","Nrn1","Mxd4",NA,NA,"Scn5a","Plag1"
"514","Nsdhl","Mxra8",NA,NA,"Sdad1","Plcd1"
"515","Nsl1","Myh14",NA,NA,"Sec1","Plce1"
"516","Nucks1","Myh7b",NA,NA,"Sec11c","Plch2"
"517","Nuf2","Mylk",NA,NA,"Sec13","Plekha7"
"518","Nup107","Myo18b",NA,NA,"Sec23b","Plekhf1"
"519","Nup133","Myo5c",NA,NA,"Sec24d","Plekho2"
"520","Nup155","Myo7a",NA,NA,"Sec61b","Plin5"
"521","Nup205","Myom3",NA,NA,"Selenoh","Plppr2"
"522","Nup43","N4bp2l1",NA,NA,"Selenoi","Plppr3"
"523","Nup62","Naa80",NA,NA,"Selenos","Plxdc1"
"524","Nup85","Naga",NA,NA,"Selp","Plxna2"
"525","Nup93","Naglu",NA,NA,"Senp1","Plxna3"
"526","Nusap1","Napb",NA,NA,"Sephs2","Plxna4"
"527","Nutf2","Narf",NA,NA,"Serp1","Plxnb1"
"528","Odc1","Nat8f1",NA,NA,"Sestd1","Pmp22"
"529","Oip5","Nat8f4",NA,NA,"Sf3a2","Polk"
"530","Olig2","Nbl1",NA,NA,"Sf3b4","Polm"
"531","Orc1","Nceh1",NA,NA,"Sfxn5","Ppara"
"532","Orc2","Nckap5",NA,NA,"Sgk2","Ppil6"
"533","Orc6","Ndrg1",NA,NA,"Sgms2","Ppm1e"
"534","Osbpl6","Ndrg4",NA,NA,"Sh2d4a","Ppox"
"535","Otud1","Nectin4",NA,NA,"Sh3pxd2a","Ppp1r1b"
"536","Otud4","Nedd9",NA,NA,"Sh3yl1","Ppp1r27"
"537","Pa2g4","Negr1",NA,NA,"Siah1b","Ppp2r2c"
"538","Pacrg","Neurl2",NA,NA,"Siah2","Ppp3ca"
"539","Palb2","Nfkbia",NA,NA,"Slbp","Prag1"
"540","Parpbp","Nipal3",NA,NA,"Slc14a1","Prdm1"
"541","Parvb","Nme5",NA,NA,"Slc16a1","Prex1"
"542","Pate14","Nol3",NA,NA,"Slc19a1","Prickle2"
"543","Pbk","Notch1",NA,NA,"Slc1a4","Prkcg"
"544","Pcdh18","Notch2",NA,NA,"Slc1a5","Prlr"
"545","Pclaf","Notch3",NA,NA,"Slc1a7","Proser2"
"546","Pcna","Nova2",NA,NA,"Slc20a1","Prr18"
"547","Pcolce2","Noxo1",NA,NA,"Slc25a29","Prrx1"
"548","Pcsk9","Npc1",NA,NA,"Slc25a33","Prss23"
"549","Pdgfb","Npr2",NA,NA,"Slc25a5","Prss53"
"550","Pdia4","Nrbp2",NA,NA,"Slc2a1","Prx"
"551","Pdia6","Nrep",NA,NA,"Slc30a4","Psd3"
"552","Pdlim7","Nscme3l",NA,NA,"Slc35g1","Pspc1"
"553","Pdp1","Nsg2",NA,NA,"Slc37a2","Psrc1"
"554","Pdss1","Nt5e",NA,NA,"Slc38a2","Ptges3l"
"555","Pfdn2","Ntrk3",NA,NA,"Slc39a14","Ptp4a3"
"556","Pfdn4","Nudt13",NA,NA,"Slc47a1","Ptpdc1"
"557","Pfdn6","Nudt16",NA,NA,"Slc5a1","Ptpre"
"558","Phf19","Numbl",NA,NA,"Slc7a11","Ptprf"
"559","Phgdh","Nwd1",NA,NA,"Slc7a6","Pxmp4"
"560","Phlda1","Nynrin",NA,NA,"Slc9a2","Rab11fip4"
"561","Pif1","Nyx",NA,NA,"Slf1","Rab13"
"562","Piga","Oas1a",NA,NA,"Slfn3","Rab34"
"563","Pimreg","Oas1b",NA,NA,"Slk","Rab36"
"564","Pkmyt1","Oas1c",NA,NA,"Sltm","Rab3d"
"565","Pkn3","Oasl2",NA,NA,"Smn1","Rabgap1l"
"566","Plac8","Ogdhl",NA,NA,"Sms","Rap2a"
"567","Plaur","Ogn",NA,NA,"Smurf1","Rasa3"
"568","Plch1","Ogt",NA,NA,"Snrpc","Rasa4"
"569","Plk1","Olfm2",NA,NA,"Soat2","Rasgef1a"
"570","Plk4","Olfml1",NA,NA,"Socs1","Rb1"
"571","Plxnd1","Olfml2a",NA,NA,"Sorbs2","Rbl2"
"572","Pmf1","Olfml3",NA,NA,"Sox8","Rbms3"
"573","Pmvk","Opcml",NA,NA,"Sp8","Rcsd1"
"574","Poc1a","Optn",NA,NA,"Spcs2","Rdh10"
"575","Podnl1","Or4c102",NA,NA,"Specc1","Rdh5"
"576","Pola1","Or4p4",NA,NA,"Spink10","Rfx2"
"577","Pola2","Orai3",NA,NA,"Spire2","Rhbdl1"
"578","Pold1","Osmr",NA,NA,"Spp1","Rhbdl3"
"579","Pole","Osr2",NA,NA,"Spsb4","Rhpn1"
"580","Pole2","Oxld1",NA,NA,"Srsf1","Rmdn1"
"581","Polq","P2rx6",NA,NA,"Srsf2","Rnd2"
"582","Polr1e","Pacsin1",NA,NA,"Srsf3","Rnf135"
"583","Polr3g","Pappa",NA,NA,"Srsf7","Rnf144b"
"584","Pop1","Pappa2",NA,NA,"Ssb","Rnf32"
"585","Ppa1","Paqr7",NA,NA,"Ssr1","Rragd"
"586","Ppat","Parp10",NA,NA,"Ssr2","Rras"
"587","Ppih","Parp12",NA,NA,"Sstr5","Rsrp1"
"588","Ppil1","Parp14",NA,NA,"Ssx2ip","Rtkn"
"589","Ppp1r14b","Parp9",NA,NA,"Stn1","Rtl8c"
"590","Prc1","Patj",NA,NA,"Stt3a","Rtn2"
"591","Prelid3b","Paxx",NA,NA,"Sult2b1","Rtn4rl1"
"592","Prex2","Pbx4",NA,NA,"Surf4","Ryr3"
"593","Prim1","Pbxip1",NA,NA,"Suv39h1","S100a13"
"594","Prim2","Pcdha9",NA,NA,"Sybu","Samd14"
"595","Prkg2","Pcdhb10",NA,NA,"Syt7","Sardh"
"596","Prl2c3","Pcdhb11",NA,NA,"Szrd1","Sarm1"
"597","Prmt7","Pcdhb12",NA,NA,"Taf15","Sbk3"
"598","Prokr2","Pcdhb13",NA,NA,"Taf4b","Sbsn"
"599","Prox1","Pcdhb14",NA,NA,"Taf5","Scn3b"
"600","Prpf31","Pcdhb15",NA,NA,"Taf7l","Scnn1a"
"601","Prr11","Pcdhb16",NA,NA,"Tardbp","Sdc3"
"602","Prrg4","Pcdhb17",NA,NA,"Tasor2","Sec14l5"
"603","Prxl2a","Pcdhb18",NA,NA,"Tatdn2","Selenom"
"604","Psat1","Pcdhb19",NA,NA,"Tbc1d30","Selenow"
"605","Psme3","Pcdhb20",NA,NA,"Tbc1d31","Sema4g"
"606","Psph","Pcdhb21",NA,NA,"Tbrg4","Serhl"
"607","Ptgs2","Pcdhb22",NA,NA,"Tcam1","Serinc1"
"608","Pthlh","Pcdhb3",NA,NA,"Tdg","Serinc4"
"609","Ptpn5","Pcdhb4",NA,NA,"Tfrc","Serpina11"
"610","Ptprn","Pcdhb5",NA,NA,"Tgif1","Serpina3i"
"611","Pttg1","Pcdhb6",NA,NA,"Thoc3","Sertad4"
"612","Pum3","Pcdhb7",NA,NA,"Thop1","Sfi1"
"613","Pwp2","Pcdhb8",NA,NA,"Thyn1","Sfxn3"
"614","Pycr1","Pcdhb9",NA,NA,"Timm10","Sfxn4"
"615","Rab27b","Pcdhga1",NA,NA,"Timm23","Shd"
"616","Racgap1","Pcdhga12",NA,NA,"Timm50","Shf"
"617","Rad18","Pcdhga6",NA,NA,"Tkt","Shpk"
"618","Rad51","Pcdhgb8",NA,NA,"Tlcd3a","Shroom2"
"619","Rad51ap1","Pcmtd2",NA,NA,"Tlcd4","Shroom3"
"620","Rad51b","Pcsk4",NA,NA,"Tm4sf1","Sipa1l2"
"621","Rad54b","Pdcd4",NA,NA,"Tma16","Slc14a2"
"622","Rad54l","Pde4a",NA,NA,"Tmed5","Slc16a3"
"623","Rai14","Pde4d",NA,NA,"Tmem144","Slc18a2"
"624","Ran","Pdgfrb",NA,NA,"Tmem158","Slc24a3"
"625","Ranbp1","Pdk1",NA,NA,"Tmem183a","Slc25a36"
"626","Rangap1","Pdk2",NA,NA,"Tmem254","Slc26a10"
"627","Rap1gap","Pdk4",NA,NA,"Tmem39b","Slc27a1"
"628","Raph1","Pdzd7",NA,NA,"Tmem50b","Slc35a5"
"629","Rbbp8","Pdzrn3",NA,NA,"Tmem74","Slc39a13"
"630","Rbl1","Peli3",NA,NA,"Tnfrsf22","Slc49a4"
"631","Rbm14","Per3",NA,NA,"Tnfrsf23","Slc6a19"
"632","Rbm19","Perm1",NA,NA,"Tns1","Slc6a6"
"633","Rbm27","Pex5l",NA,NA,"Tom1l1","Slc9a9"
"634","Rbmx2","Pgap6",NA,NA,"Tomm40","Smad6"
"635","Rbpj","Phyh",NA,NA,"Tomm5","Smad9"
"636","Rcc1","Phyhd1",NA,NA,"Tpst2","Smox"
"637","Recql4","Pianp",NA,NA,"Tra2a","Smpd1"
"638","Rfc2","Pierce1",NA,NA,"Traf3","Snx21"
"639","Rfc3","Pierce2",NA,NA,"Tram1","Snx33"
"640","Rfc4","Pigc",NA,NA,"Trib3","Sorbs1"
"641","Rfc5","Pigp",NA,NA,"Trim47","Sox4"
"642","Rflnb","Pik3ip1",NA,NA,"Trim66","Sox5"
"643","Rgs7","Pik3r3",NA,NA,"Trmt61a","Sparcl1"
"644","Rhox5","Pink1",NA,NA,"Trp53","Spon2"
"645","Rhpn2","Pip5k1b",NA,NA,"Trpv3","Spred1"
"646","Rin1","Pipox",NA,NA,"Trub1","Spred3"
"647","Rmi2","Pitpnm3",NA,NA,"Tspan2","Sptb"
"648","Rnd1","Pkd2l2",NA,NA,"Ttf2","Srpk3"
"649","Rnf145","Plbd2",NA,NA,"Tube1","Ssbp2"
"650","Rnf19b","Plcb4",NA,NA,"Txn1","Ssh3"
"651","Rpa2","Plcd4",NA,NA,"Txndc11","Sspn"
"652","Rpf2","Pld3",NA,NA,"Txnrd1","St3gal4"
"653","Rpia","Plekha4",NA,NA,"U2af1","St6gal1"
"654","Rpn1","Plekha5",NA,NA,"Uap1","Stac3"
"655","Rps6ka2","Plekhg5",NA,NA,"Ube2f","Star"
"656","Rps6ka6","Plekhn1",NA,NA,"Ubl4a","Stard10"
"657","Rras2","Plin2",NA,NA,"Uchl3","Stard9"
"658","Rrm1","Plin3",NA,NA,"Uchl5","Stat6"
"659","Rrm2","Plin4",NA,NA,"Ufsp1","Stim1"
"660","Rrp12","Plp1",NA,NA,"Ugdh","Stox1"
"661","Rrp15","Pltp",NA,NA,"Unc5a","Suox"
"662","Rrp1b","Plxnb3",NA,NA,"Ung","Syn3"
"663","Rrs1","Pmm1",NA,NA,"Uqcrq","Sync"
"664","Rtkn2","Pnma8b",NA,NA,"Urb2","Synpo"
"665","Ruvbl1","Pnpla7",NA,NA,"Usp36","Synpo2"
"666","Ruvbl2","Pnrc1",NA,NA,"Usp39","Sytl1"
"667","S100a4","Podn",NA,NA,"Usp44","Taf9b"
"668","Sapcd2","Podxl2",NA,NA,"Usp50","Tagln3"
"669","Sass6","Polg2",NA,NA,"Utp18","Tas1r1"
"670","Sc5d","Porcn",NA,NA,"Vmn1r43","Tatdn3"
"671","Scd1","Pou6f1",NA,NA,"Vps37b","Tbc1d2"
"672","Scd2","Ppargc1a",NA,NA,"Wars1","Tbc1d8"
"673","Sdf2l1","Ppfibp2",NA,NA,"Wdr12","Tcaf1"
"674","Sele","Ppm1k",NA,NA,"Wdr5","Tcea3"
"675","Sema6d","Ppp1r16b",NA,NA,"Wdr74","Tcf4"
"676","Septin11","Ppp1r3c",NA,NA,"Wdr75","Tcf7"
"677","Septin6","Prelp",NA,NA,"Wdr83os","Tec"
"678","Serpinb9b","Prkce",NA,NA,"Wdr90","Tenm3"
"679","Serpine1","Prkd2",NA,NA,"Wwtr1","Tesmin"
"680","Serpinf1","Prnp",NA,NA,"Xbp1","Tex15"
"681","Set","Pros1",NA,NA,"Xlr3a","Tgfb1i1"
"682","Setdb2","Prrg2",NA,NA,"Xpo1","Thbs3"
"683","Sfpq","Prrt2",NA,NA,"Xpo4","Thnsl2"
"684","Sfrp1","Prtg",NA,NA,"Xpot","Thpo"
"685","Sgo1","Prune1",NA,NA,"Xrcc3","Thsd1"
"686","Sgo2a","Psap",NA,NA,"Yae1d1","Tia1"
"687","Sh3bgrl2","Psmb8",NA,NA,"Ybx3","Timp3"
"688","Shcbp1","Psmb9",NA,NA,"Yrdc","Tlr4"
"689","Shmt2","Ptgds",NA,NA,"Yy2","Tm6sf2"
"690","Sigmar1","Ptprv",NA,NA,"Zc3h8","Tmc4"
"691","Ska1","Pygo1",NA,NA,"Zdhhc2","Tmco6"
"692","Ska2","Rab3il1",NA,NA,"Zfand2a","Tmem143"
"693","Ska3","Rab40b",NA,NA,"Zfand4","Tmem145"
"694","Skp2","Rad9b",NA,NA,"Zfp469","Tmem19"
"695","Slc25a24","Ralgds",NA,NA,"Zfp473","Tmem191"
"696","Slc29a2","Ralgps1",NA,NA,"Zfp593","Tmem198b"
"697","Slc35b1","Rapsn",NA,NA,"Zfp819","Tmem253"
"698","Slc39a10","Rarres2",NA,NA,"Zfp850","Tmem255a"
"699","Slc7a1","Rasl12",NA,NA,"Zfp978","Tmem80"
"700","Slc7a5","Rassf4",NA,NA,"Zfp979","Tmie"
"701","Slco4a1","Rbm24",NA,NA,"Znhit6","Tnip1"
"702","Slfn9","Rdh9",NA,NA,"Zscan4b","Tnr"
"703","Smc2","Rdm1",NA,NA,NA,"Tns2"
"704","Smc4","Reep2",NA,NA,NA,"Tob1"
"705","Smim3","Relb",NA,NA,NA,"Trim13"
"706","Smpd3","Rell2",NA,NA,NA,"Trim7"
"707","Smpdl3b","Resf1",NA,NA,NA,"Triqk"
"708","Smtn","Rev3l",NA,NA,NA,"Trp53inp2"
"709","Smyd5","Rfx5",NA,NA,NA,"Trpt1"
"710","Snrnp25","Rgcc",NA,NA,NA,"Trpv2"
"711","Snrnp40","Rgma",NA,NA,NA,"Tsc22d3"
"712","Snrpa1","Rgs9bp",NA,NA,NA,"Tsga10"
"713","Snrpd1","Rhd",NA,NA,NA,"Tshz1"
"714","Snrpd3","Rigi",NA,NA,NA,"Tspan17"
"715","Snrpf","Rin2",NA,NA,NA,"Tspan3"
"716","Socs5","Rnase1",NA,NA,NA,"Tspyl1"
"717","Spag5","Rnase4",NA,NA,NA,"Tspyl4"
"718","Spc24","Rnasel",NA,NA,NA,"Tstd1"
"719","Spc25","Rnf122",NA,NA,NA,"Ttc38"
"720","Spcs3","Rnf152",NA,NA,NA,"Ttll7"
"721","Spdl1","Rnf167",NA,NA,NA,"Tuba8"
"722","Sprr2d","Rnf207",NA,NA,NA,"Tubb2a"
"723","Spry2","Rom1",NA,NA,NA,"Tubb2b"
"724","Spry4","Rora",NA,NA,NA,"Tulp4"
"725","Sptbn4","Rorc",NA,NA,NA,"Tyro3"
"726","Spx","Rsph9",NA,NA,NA,"Ube2h"
"727","Srm","Rtn4r",NA,NA,NA,"Ugcg"
"728","Srpk1","Rtp4",NA,NA,NA,"Ulk2"
"729","Ssrp1","Rubcnl",NA,NA,NA,"Uqcc3"
"730","St3gal1","Rufy4",NA,NA,NA,"Ush1g"
"731","Stard4","Rundc3a",NA,NA,NA,"Ushbp1"
"732","Stc1","S100a7a",NA,NA,NA,"Usp35"
"733","Steap1","S1pr2",NA,NA,NA,"Utrn"
"734","Stil","Sash1",NA,NA,NA,"Vcam1"
"735","Stip1","Sbk2",NA,NA,NA,"Vcan"
"736","Stmn1","Scg2",NA,NA,NA,"Vegfd"
"737","Stox2","Scml4",NA,NA,NA,"Vill"
"738","Suv39h2","Scn1b",NA,NA,NA,"Vim"
"739","Swap70","Scx",NA,NA,NA,"Vmac"
"740","Syde1","Sdc2",NA,NA,NA,"Vtn"
"741","Syn1","Sdf2",NA,NA,NA,"Wdr13"
"742","Syncrip","Sdk2",NA,NA,NA,"Wdr91"
"743","Synj2","Sec14l2",NA,NA,NA,"Wnk4"
"744","Tacc3","Sec31b",NA,NA,NA,"Wnt2b"
"745","Taf6l","Selenbp1",NA,NA,NA,"Wnt4"
"746","Tagln2","Selenop",NA,NA,NA,"Wnt5b"
"747","Tamm41","Sema3b",NA,NA,NA,"Wtip"
"748","Tbc1d1","Sema3c",NA,NA,NA,"Xntrpc"
"749","Tbc1d9","Sema3f",NA,NA,NA,"Ythdc1"
"750","Tcf19","Sema6c",NA,NA,NA,"Zbtb20"
"751","Tcof1","Septin4",NA,NA,NA,"Zbtb4"
"752","Tead4","Serinc3",NA,NA,NA,"Zer1"
"753","Tedc1","Serinc5",NA,NA,NA,"Zfand1"
"754","Tes","Serpina3k",NA,NA,NA,"Zfp108"
"755","Tex30","Serpina3m",NA,NA,NA,"Zfp112"
"756","Tfdp1","Serpina3n",NA,NA,NA,"Zfp14"
"757","Thap12","Serpinb8",NA,NA,NA,"Zfp174"
"758","Ticrr","Serpinb9",NA,NA,NA,"Zfp229"
"759","Tigar","Sesn1",NA,NA,NA,"Zfp28"
"760","Timeless","Sesn3",NA,NA,NA,"Zfp287"
"761","Timm8a1","Setbp1",NA,NA,NA,"Zfp296"
"762","Tinagl1","Sgsm2",NA,NA,NA,"Zfp30"
"763","Tinf2","Shank2",NA,NA,NA,"Zfp316"
"764","Tipin","Siae",NA,NA,NA,"Zfp354c"
"765","Tjp2","Sirt3",NA,NA,NA,"Zfp455"
"766","Tk1","Sirt5",NA,NA,NA,"Zfp456"
"767","Tm7sf2","Six5",NA,NA,NA,"Zfp524"
