HGNC_Receptor_Kinases
EPHA1
EPHA2
EPHA3
EPHA4
EPHA5
EPHA6
EPHA7
EPHA8
EPHA10
EPHB1
EPHB2
EPHB3
EPHB4
EPHB6
EGFR
ERBB2
ERBB3
ERBB4
AATK
ALK
AXL
CSF1R
DDR1
DDR2
FGFR1
FGFR2
FGFR3
FGFR4
FLT1
FLT3
FLT4
IGF1R
INSR
INSRR
KDR
KIT
LMTK2
LMTK3
LTK
MERTK
MET
MST1R
MUSK
NTRK1
NTRK2
NTRK3
PDGFRA
PDGFRB
PTK7
RET
ROR1
ROR2
ROS1
RYK
STYK1
TEK
TIE1
TYRO3
ACVRL1
ACVR1
ACVR1B
ACVR1C
BMPR1A
BMPR1B
TGFBR1
ACVR2A
ACVR2B
AMHR2
BMPR2
TGFBR2
